City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
379,Saint-Joseph,RE,-21.3667,55.6167,70.18,75,27,11.59,light rain
380,Ginda,IN,30.6945,78.4932,68.5,99,100,1.36,overcast clouds
381,Casablanca,MA,33.5928,-7.6192,82.62,65,40,18.01,scattered clouds
382,Kirakira,SB,-10.4544,161.9205,77.59,86,100,7.34,light rain
383,Kailua,US,21.4022,-157.7394,78.78,78,40,10.36,scattered clouds
384,Mbini,GQ,1.574,9.6134,82.24,72,85,10.09,overcast clouds
385,Siniscola,IT,40.5719,9.6922,94.55,65,70,3.22,broken clouds
386,Yar-Sale,RU,66.8333,70.8333,53.31,74,59,3.94,broken clouds
387,Bakel,SN,14.905,-12.4568,100.45,34,53,10.87,broken clouds
388,Bafq,IR,31.6128,55.4107,96.78,11,34,10.27,scattered clouds
389,San Quintin,MX,30.4833,-115.95,67.96,82,100,2.82,overcast clouds
390,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,75,14.97,broken clouds
391,Beibei,CN,29.8256,106.4339,88.27,78,4,1.86,light rain
392,Kaliganj,BD,23.4095,89.1402,84.02,82,100,4.25,overcast clouds
393,Fernie,CA,49.5,-115.0687,65.37,29,0,6.04,clear sky
394,Merzifon,TR,40.8733,35.4631,74.66,50,75,11.5,thunderstorm
395,Merritt Island,US,28.5392,-80.672,92.08,72,1,9.22,clear sky
396,Komsomolskiy,UZ,40.4272,71.7189,97.52,16,0,0.0,clear sky
397,Kavaratti,IN,10.5669,72.642,81.73,81,100,18.63,overcast clouds
398,Lasa,IT,46.6166,10.7002,71.02,76,70,5.55,broken clouds
399,Aquiraz,BR,-3.9014,-38.3911,87.89,52,51,13.85,broken clouds
400,Natal,BR,-5.795,-35.2094,84.42,61,40,18.41,scattered clouds
401,Kousseri,CM,12.0769,15.0306,85.96,66,40,2.3,scattered clouds
402,Zhigansk,RU,66.7697,123.3711,54.21,78,31,13.53,scattered clouds
403,Tura,IN,25.5198,90.2201,77.31,93,100,2.82,light rain
404,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.16,24,57,4.5,broken clouds
405,Acarau,BR,-2.8856,-40.12,88.75,50,44,18.23,scattered clouds
406,Sioux Lookout,CA,50.1001,-91.917,73.78,60,90,6.91,smoke
407,Kaiyuan,CN,23.6977,103.3037,65.16,92,21,3.42,few clouds
408,Molchanovo,RU,57.5817,83.7692,61.77,97,100,12.86,moderate rain
409,Sarevere,EE,58.79,25.4281,83.93,41,55,4.0,broken clouds
410,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,94,75,10.18,light intensity drizzle
411,Muli,MV,2.9167,73.5667,81.37,69,100,2.51,overcast clouds
412,Mundgod,IN,14.9667,75.0333,74.32,95,64,7.92,broken clouds
413,Kropotkin,RU,45.4375,40.5756,83.82,35,0,11.59,clear sky
414,Hetauda,NP,27.4284,85.0322,83.55,90,100,2.51,moderate rain
415,Toora-Khem,RU,52.4675,96.11,60.84,98,99,2.77,light rain
416,Olafsvik,IS,64.8945,-23.7142,49.37,87,100,15.95,overcast clouds
417,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,59,0,12.62,clear sky
418,Awbari,LY,26.5921,12.7805,99.03,12,0,9.98,clear sky
419,Bilibino,RU,68.0546,166.4372,38.66,84,26,6.78,scattered clouds
420,Chumikan,RU,54.7183,135.315,62.62,80,100,4.41,overcast clouds
421,Owensboro,US,37.7742,-87.1133,88.02,89,75,5.75,mist
